کارکرد,مدل (سال تولید),رنگ,برند و تیپ,نوع سوخت,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت پایه,شاسی جلو,شاسی عقب,نمایشگاه,نوع آگهی,مایل به معاوضه,حداقل مبلغ پیش‌پرداخت,مبلغ هر قسط,تعداد اقساط,فروشنده
۲۰۰٬۰۰۰,۱۳۸۸,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,دنده‌ای,۲۶۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۶۰٬۰۰۰,۱۳۸۶,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,۲۰۳٬۰۰۰٬۰۰۰ تومان,,,جم خودرو,,,,,,
۵۹٬۰۰۰,۱۳۹۹,مشکی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,,,۴۱۰٬۰۰۰٬۰۰۰ تومان,,,رستا گستر فرداد مهر,,,۲۵۰٬۰۰۰٬۰۰۰ تومان,توافقی,توافقی,
۰,۱۴۰۱,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,۲۵۶٬۰۰۰٬۰۰۰ تومان,,,آرتیما خودرو,فروشی,,,,,
۲۰۰٬۰۰۰,۱۳۹۴,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,ضربه‌خورده,رنگ‌شدگی,۱۰ ماه,دنده‌ای,۳۳۱٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۷۷٬۰۰۰,۱۳۹۵,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,۳۷۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۸۰٬۰۰۰,۱۳۸۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,دنده‌ای,۲۷۵٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۹۵٬۰۰۰,۱۳۹۵,مشکی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,۳۶۸٬۰۰۰٬۰۰۰ تومان,,,,,هستم,,,,
۲۱۰٬۰۰۰,۱۳۸۹,مشکی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,۲۷۰٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۳۴٬۰۰۰,۱۳۹۰,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,۴۲۵٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۹۹٬۰۰۰,۱۳۹۶,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,۳۷۳٬۰۰۰٬۰۰۰ تومان,,,,,هستم,,,,
۱۹۰٬۰۰۰,۱۳۹۰,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,۲۷۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
